Label,x_a,y_b,z_c
Rb1_1,0.5,0.5,0.5
Rb1_25,0,0,0
Rb2_1,0.5,0,0.75
Rb2_2,0,0.25,0.5
Rb2_3,0.75,0.5,0
Rb2_4,0.5,0,0.25
Rb2_5,0,0.75,0.5
Rb2_6,0.25,0.5,0
Sn1_1,0,0.5,0.75
Sn1_2,0.5,0.25,0
Sn1_3,0.75,0,0.5
Sn1_4,0,0.5,0.25
Sn1_5,0.5,0.75,0
Sn1_6,0.25,0,0.5
Sn2_1,0.6827,0.3173,0.6827
Sn2_4,0.3173,0.6827,0.3173
Sn2_7,0.6827,0.6827,0.3173
Sn2_10,0.3173,0.3173,0.6827
Sn2_13,0.3173,0.6827,0.6827
Sn2_16,0.6827,0.3173,0.3173
Sn2_19,0.3173,0.3173,0.3173
Sn2_22,0.6827,0.6827,0.6827
Sn2_25,0.1827,0.1827,0.8173
Sn2_28,0.8173,0.8173,0.1827
Sn2_31,0.1827,0.8173,0.1827
Sn2_34,0.8173,0.1827,0.8173
Sn2_37,0.8173,0.1827,0.1827
Sn2_40,0.1827,0.8173,0.8173
Sn2_43,0.8173,0.8173,0.8173
Sn2_46,0.1827,0.1827,0.1827
Sn3_1,0.6138,0.1932,0.5
Sn3_2,0.8068,0.5,0.6138
Sn3_3,0.5,0.3862,0.8068
Sn3_4,0.3862,0.8068,0.5
Sn3_5,0.1932,0.5,0.3862
Sn3_6,0.5,0.6138,0.1932
Sn3_7,0.6138,0.8068,0.5
Sn3_8,0.8068,0.5,0.3862
Sn3_10,0.3862,0.1932,0.5
Sn3_11,0.1932,0.5,0.6138
Sn3_15,0.5,0.6138,0.8068
Sn3_18,0.5,0.3862,0.1932
Sn3_25,0.1138,0,0.6932
Sn3_26,0.3068,0.1138,0
Sn3_27,0,0.3068,0.8862
Sn3_28,0.8862,0,0.3068
Sn3_29,0.6932,0.8862,0
Sn3_30,0,0.6932,0.1138
Sn3_31,0.1138,0,0.3068
Sn3_32,0.3068,0.8862,0
Sn3_34,0.8862,0,0.6932
Sn3_35,0.6932,0.1138,0
Sn3_39,0,0.3068,0.1138
Sn3_42,0,0.6932,0.8862
Sn4_1,0.633,0.1523,0.5
Sn4_2,0.8477,0.5,0.633
Sn4_3,0.5,0.367,0.8477
Sn4_4,0.367,0.8477,0.5
Sn4_5,0.1523,0.5,0.367
Sn4_6,0.5,0.633,0.1523
Sn4_7,0.633,0.8477,0.5
Sn4_8,0.8477,0.5,0.367
Sn4_10,0.367,0.1523,0.5
Sn4_11,0.1523,0.5,0.633
Sn4_15,0.5,0.633,0.8477
Sn4_18,0.5,0.367,0.1523
Sn4_25,0.133,0,0.6523
Sn4_26,0.3477,0.133,0
Sn4_27,0,0.3477,0.867
Sn4_28,0.867,0,0.3477
Sn4_29,0.6523,0.867,0
Sn4_30,0,0.6523,0.133
Sn4_31,0.133,0,0.3477
Sn4_32,0.3477,0.867,0
Sn4_34,0.867,0,0.6523
Sn4_35,0.6523,0.133,0
Sn4_39,0,0.3477,0.133
Sn4_42,0,0.6523,0.867
