Label,x_a,y_b,z_c
Na1_1,0.5,0,0.75
Na1_2,0,0.25,0.5
Na1_3,0.75,0.5,0
Na1_4,0.5,0,0.25
Na1_5,0,0.75,0.5
Na1_6,0.25,0.5,0
Na2_1,0.5,0.5,0.5
Na2_25,0,0,0
Si1_1,0.61644,0.19456,0.5
Si1_2,0.80544,0.5,0.61644
Si1_3,0.5,0.38356,0.80544
Si1_4,0.38356,0.80544,0.5
Si1_5,0.19456,0.5,0.38356
Si1_6,0.5,0.61644,0.19456
Si1_7,0.61644,0.80544,0.5
Si1_8,0.80544,0.5,0.38356
Si1_10,0.38356,0.19456,0.5
Si1_11,0.19456,0.5,0.61644
Si1_15,0.5,0.61644,0.80544
Si1_18,0.5,0.38356,0.19456
Si1_25,0.11644,0,0.69456
Si1_26,0.30544,0.11644,0
Si1_27,0,0.30544,0.88356
Si1_28,0.88356,0,0.30544
Si1_29,0.69456,0.88356,0
Si1_30,0,0.69456,0.11644
Si1_31,0.11644,0,0.30544
Si1_32,0.30544,0.88356,0
Si1_34,0.88356,0,0.69456
Si1_35,0.69456,0.11644,0
Si1_39,0,0.30544,0.11644
Si1_42,0,0.69456,0.88356
Si2_1,0.684,0.316,0.684
Si2_4,0.316,0.684,0.316
Si2_7,0.684,0.684,0.316
Si2_10,0.316,0.316,0.684
Si2_13,0.316,0.684,0.684
Si2_16,0.684,0.316,0.316
Si2_19,0.316,0.316,0.316
Si2_22,0.684,0.684,0.684
Si2_25,0.184,0.184,0.816
Si2_28,0.816,0.816,0.184
Si2_31,0.184,0.816,0.184
Si2_34,0.816,0.184,0.816
Si2_37,0.816,0.184,0.184
Si2_40,0.184,0.816,0.816
Si2_43,0.816,0.816,0.816
Si2_46,0.184,0.184,0.184
Si3_1,0,0.5,0.75
Si3_2,0.5,0.25,0
Si3_3,0.75,0,0.5
Si3_4,0,0.5,0.25
Si3_5,0.5,0.75,0
Si3_6,0.25,0,0.5
