Label,x_a,y_b,z_c
Ba1_1,0.5,0.5,0.5
Ba1_25,0,0,0
Ba2_1,0.5,0,0.75
Ba2_2,0,0.25,0.5
Ba2_3,0.75,0.5,0
Ba2_4,0.5,0,0.25
Ba2_5,0,0.75,0.5
Ba2_6,0.25,0.5,0
Si1_1,0,0.5,0.75
Si1_2,0.5,0.25,0
Si1_3,0.75,0,0.5
Si1_4,0,0.5,0.25
Si1_5,0.5,0.75,0
Si1_6,0.25,0,0.5
Si2_1,0.6854,0.3146,0.6854
Si2_4,0.3146,0.6854,0.3146
Si2_7,0.6854,0.6854,0.3146
Si2_10,0.3146,0.3146,0.6854
Si2_13,0.3146,0.6854,0.6854
Si2_16,0.6854,0.3146,0.3146
Si2_19,0.3146,0.3146,0.3146
Si2_22,0.6854,0.6854,0.6854
Si2_25,0.1854,0.1854,0.8146
Si2_28,0.8146,0.8146,0.1854
Si2_31,0.1854,0.8146,0.1854
Si2_34,0.8146,0.1854,0.8146
Si2_37,0.8146,0.1854,0.1854
Si2_40,0.1854,0.8146,0.8146
Si2_43,0.8146,0.8146,0.8146
Si2_46,0.1854,0.1854,0.1854
Si3_1,0.6192,0.1941,0.5
Si3_2,0.8059,0.5,0.6192
Si3_3,0.5,0.3808,0.8059
Si3_4,0.3808,0.8059,0.5
Si3_5,0.1941,0.5,0.3808
Si3_6,0.5,0.6192,0.1941
Si3_7,0.6192,0.8059,0.5
Si3_8,0.8059,0.5,0.3808
Si3_10,0.3808,0.1941,0.5
Si3_11,0.1941,0.5,0.6192
Si3_15,0.5,0.6192,0.8059
Si3_18,0.5,0.3808,0.1941
Si3_25,0.1192,0,0.6941
Si3_26,0.3059,0.1192,0
Si3_27,0,0.3059,0.8808
Si3_28,0.8808,0,0.3059
Si3_29,0.6941,0.8808,0
Si3_30,0,0.6941,0.1192
Si3_31,0.1192,0,0.3059
Si3_32,0.3059,0.8808,0
Si3_34,0.8808,0,0.6941
Si3_35,0.6941,0.1192,0
Si3_39,0,0.3059,0.1192
Si3_42,0,0.6941,0.8808
