Label,x_a,y_b,z_c
Sr1_1,0.5,0.5,0.5
Sr1_25,0,0,0
Sr2_1,0.032,0.246,0.5
Sr2_2,0.754,0.5,0.032
Sr2_3,0.5,0.968,0.754
Sr2_4,0.968,0.754,0.5
Sr2_5,0.246,0.5,0.968
Sr2_6,0.5,0.032,0.246
Sr2_7,0.032,0.754,0.5
Sr2_8,0.754,0.5,0.968
Sr2_10,0.968,0.246,0.5
Sr2_11,0.246,0.5,0.032
Sr2_15,0.5,0.032,0.754
Sr2_18,0.5,0.968,0.246
Sr2_25,0.532,0,0.746
Sr2_26,0.254,0.532,0
Sr2_27,0,0.254,0.468
Sr2_28,0.468,0,0.254
Sr2_29,0.746,0.468,0
Sr2_30,0,0.746,0.532
Sr2_31,0.532,0,0.254
Sr2_32,0.254,0.468,0
Sr2_34,0.468,0,0.746
Sr2_35,0.746,0.532,0
Sr2_39,0,0.254,0.532
Sr2_42,0,0.746,0.468
Ga1_1,0,0.5,0.75
Ga1_2,0.5,0.25,0
Ga1_3,0.75,0,0.5
Ga1_4,0,0.5,0.25
Ga1_5,0.5,0.75,0
Ga1_6,0.25,0,0.5
Ga2_1,0.684,0.316,0.684
Ga2_4,0.316,0.684,0.316
Ga2_7,0.684,0.684,0.316
Ga2_10,0.316,0.316,0.684
Ga2_13,0.316,0.684,0.684
Ga2_16,0.684,0.316,0.316
Ga2_19,0.316,0.316,0.316
Ga2_22,0.684,0.684,0.684
Ga2_25,0.184,0.184,0.816
Ga2_28,0.816,0.816,0.184
Ga2_31,0.184,0.816,0.184
Ga2_34,0.816,0.184,0.816
Ga2_37,0.816,0.184,0.184
Ga2_40,0.184,0.816,0.816
Ga2_43,0.816,0.816,0.816
Ga2_46,0.184,0.184,0.184
Ga3_1,0.617,0.1906,0.5
Ga3_2,0.8094,0.5,0.617
Ga3_3,0.5,0.383,0.8094
Ga3_4,0.383,0.8094,0.5
Ga3_5,0.1906,0.5,0.383
Ga3_6,0.5,0.617,0.1906
Ga3_7,0.617,0.8094,0.5
Ga3_8,0.8094,0.5,0.383
Ga3_10,0.383,0.1906,0.5
Ga3_11,0.1906,0.5,0.617
Ga3_15,0.5,0.617,0.8094
Ga3_18,0.5,0.383,0.1906
Ga3_25,0.117,0,0.6906
Ga3_26,0.3094,0.117,0
Ga3_27,0,0.3094,0.883
Ga3_28,0.883,0,0.3094
Ga3_29,0.6906,0.883,0
Ga3_30,0,0.6906,0.117
Ga3_31,0.117,0,0.3094
Ga3_32,0.3094,0.883,0
Ga3_34,0.883,0,0.6906
Ga3_35,0.6906,0.117,0
Ga3_39,0,0.3094,0.117
Ga3_42,0,0.6906,0.883
