Label,x_a,y_b,z_c
Ba1_1,0.5,0.5,0.5
Ba1_25,0,0,0
Ba2_1,0,0.5,0.75
Ba2_2,0.5,0.25,0
Ba2_3,0.75,0,0.5
Ba2_4,0,0.5,0.25
Ba2_5,0.5,0.75,0
Ba2_6,0.25,0,0.5
Ni1_1,0.5,0,0.75
Ni1_2,0,0.25,0.5
Ni1_3,0.75,0.5,0
Ni1_4,0.5,0,0.25
Ni1_5,0,0.75,0.5
Ni1_6,0.25,0.5,0
Si2_1,0.68429,0.31571,0.68429
Si2_4,0.31571,0.68429,0.31571
Si2_7,0.68429,0.68429,0.31571
Si2_10,0.31571,0.31571,0.68429
Si2_13,0.31571,0.68429,0.68429
Si2_16,0.68429,0.31571,0.31571
Si2_19,0.31571,0.31571,0.31571
Si2_22,0.68429,0.68429,0.68429
Si2_25,0.18429,0.18429,0.81571
Si2_28,0.81571,0.81571,0.18429
Si2_31,0.18429,0.81571,0.18429
Si2_34,0.81571,0.18429,0.81571
Si2_37,0.81571,0.18429,0.18429
Si2_40,0.18429,0.81571,0.81571
Si2_43,0.81571,0.81571,0.81571
Si2_46,0.18429,0.18429,0.18429
Si3_1,0.81241,0.37875,0.5
Si3_2,0.62125,0.5,0.81241
Si3_3,0.5,0.18759,0.62125
Si3_4,0.18759,0.62125,0.5
Si3_5,0.37875,0.5,0.18759
Si3_6,0.5,0.81241,0.37875
Si3_7,0.81241,0.62125,0.5
Si3_8,0.62125,0.5,0.18759
Si3_10,0.18759,0.37875,0.5
Si3_11,0.37875,0.5,0.81241
Si3_15,0.5,0.81241,0.62125
Si3_18,0.5,0.18759,0.37875
Si3_25,0.31241,0,0.87875
Si3_26,0.12125,0.31241,0
Si3_27,0,0.12125,0.68759
Si3_28,0.68759,0,0.12125
Si3_29,0.87875,0.68759,0
Si3_30,0,0.87875,0.31241
Si3_31,0.31241,0,0.12125
Si3_32,0.12125,0.68759,0
Si3_34,0.68759,0,0.87875
Si3_35,0.87875,0.31241,0
Si3_39,0,0.12125,0.31241
Si3_42,0,0.87875,0.68759
