Label,x_a,y_b,z_c
Rb1_1,0.5,0,0.75
Rb1_2,0,0.25,0.5
Rb1_3,0.75,0.5,0
Rb1_4,0.5,0,0.25
Rb1_5,0,0.75,0.5
Rb1_6,0.25,0.5,0
Na1_1,0.5,0.5,0.5
Na1_25,0,0,0
Si1_1,0.61798,0.19561,0.5
Si1_2,0.80439,0.5,0.61798
Si1_3,0.5,0.38202,0.80439
Si1_4,0.38202,0.80439,0.5
Si1_5,0.19561,0.5,0.38202
Si1_6,0.5,0.61798,0.19561
Si1_7,0.61798,0.80439,0.5
Si1_8,0.80439,0.5,0.38202
Si1_10,0.38202,0.19561,0.5
Si1_11,0.19561,0.5,0.61798
Si1_15,0.5,0.61798,0.80439
Si1_18,0.5,0.38202,0.19561
Si1_25,0.11798,0,0.69561
Si1_26,0.30439,0.11798,0
Si1_27,0,0.30439,0.88202
Si1_28,0.88202,0,0.30439
Si1_29,0.69561,0.88202,0
Si1_30,0,0.69561,0.11798
Si1_31,0.11798,0,0.30439
Si1_32,0.30439,0.88202,0
Si1_34,0.88202,0,0.69561
Si1_35,0.69561,0.11798,0
Si1_39,0,0.30439,0.11798
Si1_42,0,0.69561,0.88202
Si2_1,0.68411,0.31589,0.68411
Si2_4,0.31589,0.68411,0.31589
Si2_7,0.68411,0.68411,0.31589
Si2_10,0.31589,0.31589,0.68411
Si2_13,0.31589,0.68411,0.68411
Si2_16,0.68411,0.31589,0.31589
Si2_19,0.31589,0.31589,0.31589
Si2_22,0.68411,0.68411,0.68411
Si2_25,0.18411,0.18411,0.81589
Si2_28,0.81589,0.81589,0.18411
Si2_31,0.18411,0.81589,0.18411
Si2_34,0.81589,0.18411,0.81589
Si2_37,0.81589,0.18411,0.18411
Si2_40,0.18411,0.81589,0.81589
Si2_43,0.81589,0.81589,0.81589
Si2_46,0.18411,0.18411,0.18411
Si3_1,0,0.5,0.75
Si3_2,0.5,0.25,0
Si3_3,0.75,0,0.5
Si3_4,0,0.5,0.25
Si3_5,0.5,0.75,0
Si3_6,0.25,0,0.5
