Label,x_a,y_b,z_c
Ba1_1_-1_-1_-1,-0.5,-0.5,-0.5
Ba1_25_-1_-1_-1,-1,-1,-1
Ba2_1_-1_-1_-1,-0.5,-0.038,-0.2462
Ba2_2_-1_-1_-1,-0.962,-0.7538,-0.5
Ba2_3_-1_-1_-1,-0.2462,-0.5,-0.962
Ba2_4_-1_-1_-1,-0.5,-0.962,-0.7538
Ba2_5_-1_-1_-1,-0.038,-0.2462,-0.5
Ba2_6_-1_-1_-1,-0.7538,-0.5,-0.038
Ba2_8_-1_-1_-1,-0.962,-0.2462,-0.5
Ba2_9_-1_-1_-1,-0.2462,-0.5,-0.038
Ba2_11_-1_-1_-1,-0.038,-0.7538,-0.5
Ba2_12_-1_-1_-1,-0.7538,-0.5,-0.962
Ba2_13_-1_-1_-1,-0.5,-0.962,-0.2462
Ba2_16_-1_-1_-1,-0.5,-0.038,-0.7538
Ba2_25_-1_-1_-1,-1,-0.7462,-0.538
Ba2_26_-1_-1_-1,-0.462,-1,-0.2538
Ba2_27_-1_-1_-1,-0.7462,-0.462,-1
Ba2_28_-1_-1_-1,-1,-0.2538,-0.462
Ba2_29_-1_-1_-1,-0.538,-1,-0.7462
Ba2_30_-1_-1_-1,-0.2538,-0.538,-1
Ba2_32_-1_-1_-1,-0.462,-1,-0.7462
Ba2_33_-1_-1_-1,-0.7462,-0.538,-1
Ba2_35_-1_-1_-1,-0.538,-1,-0.2538
Ba2_36_-1_-1_-1,-0.2538,-0.462,-1
Ba2_37_-1_-1_-1,-1,-0.7462,-0.462
Ba2_40_-1_-1_-1,-1,-0.2538,-0.538
Sn1_1_-1_-1_-1,-1,-0.5,-0.25
Sn1_2_-1_-1_-1,-0.5,-0.75,-1
Sn1_3_-1_-1_-1,-0.25,-1,-0.5
Sn1_4_-1_-1_-1,-1,-0.5,-0.75
Sn1_5_-1_-1_-1,-0.5,-0.25,-1
Sn1_6_-1_-1_-1,-0.75,-1,-0.5
Sn2_1_-1_-1_-1,-0.3158,-0.6842,-0.3158
Sn2_4_-1_-1_-1,-0.6842,-0.3158,-0.6842
Sn2_7_-1_-1_-1,-0.3158,-0.3158,-0.6842
Sn2_10_-1_-1_-1,-0.6842,-0.6842,-0.3158
Sn2_13_-1_-1_-1,-0.6842,-0.3158,-0.3158
Sn2_16_-1_-1_-1,-0.3158,-0.6842,-0.6842
Sn2_19_-1_-1_-1,-0.6842,-0.6842,-0.6842
Sn2_22_-1_-1_-1,-0.3158,-0.3158,-0.3158
Sn2_25_-1_-1_-1,-0.8158,-0.8158,-0.1842
Sn2_28_-1_-1_-1,-0.1842,-0.1842,-0.8158
Sn2_31_-1_-1_-1,-0.8158,-0.1842,-0.8158
Sn2_34_-1_-1_-1,-0.1842,-0.8158,-0.1842
Sn2_37_-1_-1_-1,-0.1842,-0.8158,-0.8158
Sn2_40_-1_-1_-1,-0.8158,-0.1842,-0.1842
Sn2_43_-1_-1_-1,-0.1842,-0.1842,-0.1842
Sn2_46_-1_-1_-1,-0.8158,-0.8158,-0.8158
Sn3_1_-1_-1_-1,-0.38155,-0.81234,-0.5
Sn3_2_-1_-1_-1,-0.18766,-0.5,-0.38155
Sn3_3_-1_-1_-1,-0.5,-0.61845,-0.18766
Sn3_4_-1_-1_-1,-0.61845,-0.18766,-0.5
Sn3_5_-1_-1_-1,-0.81234,-0.5,-0.61845
Sn3_6_-1_-1_-1,-0.5,-0.38155,-0.81234
Sn3_7_-1_-1_-1,-0.38155,-0.18766,-0.5
Sn3_8_-1_-1_-1,-0.18766,-0.5,-0.61845
Sn3_10_-1_-1_-1,-0.61845,-0.81234,-0.5
Sn3_11_-1_-1_-1,-0.81234,-0.5,-0.38155
Sn3_15_-1_-1_-1,-0.5,-0.38155,-0.18766
Sn3_18_-1_-1_-1,-0.5,-0.61845,-0.81234
Sn3_25_-1_-1_-1,-0.88155,-1,-0.31234
Sn3_26_-1_-1_-1,-0.68766,-0.88155,-1
Sn3_27_-1_-1_-1,-1,-0.68766,-0.11845
Sn3_28_-1_-1_-1,-0.11845,-1,-0.68766
Sn3_29_-1_-1_-1,-0.31234,-0.11845,-1
Sn3_30_-1_-1_-1,-1,-0.31234,-0.88155
Sn3_31_-1_-1_-1,-0.88155,-1,-0.68766
