Label,x_a,y_b,z_c
I1_1_-1_-1_-1,-0.5,-0.5,-0.5
I1_25_-1_-1_-1,-1,-1,-1
I2_1_-1_-1_-1,-1,-0.75,-0.5
I2_2_-1_-1_-1,-0.25,-0.5,-1
I2_3_-1_-1_-1,-0.5,-1,-0.25
I2_4_-1_-1_-1,-1,-0.25,-0.5
I2_5_-1_-1_-1,-0.75,-0.5,-1
I2_6_-1_-1_-1,-0.5,-1,-0.75
As1_1_-1_-1_-1,-0.31205,-0.68795,-0.31205
As1_4_-1_-1_-1,-0.68795,-0.31205,-0.68795
As1_7_-1_-1_-1,-0.31205,-0.31205,-0.68795
As1_10_-1_-1_-1,-0.68795,-0.68795,-0.31205
As1_13_-1_-1_-1,-0.68795,-0.31205,-0.31205
As1_16_-1_-1_-1,-0.31205,-0.68795,-0.68795
As1_19_-1_-1_-1,-0.68795,-0.68795,-0.68795
As1_22_-1_-1_-1,-0.31205,-0.31205,-0.31205
As1_25_-1_-1_-1,-0.81205,-0.81205,-0.18795
As1_28_-1_-1_-1,-0.18795,-0.18795,-0.81205
As1_31_-1_-1_-1,-0.81205,-0.18795,-0.81205
As1_34_-1_-1_-1,-0.18795,-0.81205,-0.18795
As1_37_-1_-1_-1,-0.18795,-0.81205,-0.81205
As1_40_-1_-1_-1,-0.81205,-0.18795,-0.18795
As1_43_-1_-1_-1,-0.18795,-0.18795,-0.18795
As1_46_-1_-1_-1,-0.81205,-0.81205,-0.81205
As2_1_-1_-1_-1,-1,-0.5,-0.25
As2_2_-1_-1_-1,-0.5,-0.75,-1
As2_3_-1_-1_-1,-0.25,-1,-0.5
As2_4_-1_-1_-1,-1,-0.5,-0.75
As2_5_-1_-1_-1,-0.5,-0.25,-1
As2_6_-1_-1_-1,-0.75,-1,-0.5
Sn1_1_-1_-1_-1,-0.5,-0.6107,-0.1913
Sn1_2_-1_-1_-1,-0.3893,-0.8087,-0.5
Sn1_3_-1_-1_-1,-0.1913,-0.5,-0.3893
Sn1_4_-1_-1_-1,-0.5,-0.3893,-0.8087
Sn1_5_-1_-1_-1,-0.6107,-0.1913,-0.5
Sn1_6_-1_-1_-1,-0.8087,-0.5,-0.6107
Sn1_8_-1_-1_-1,-0.3893,-0.1913,-0.5
Sn1_9_-1_-1_-1,-0.1913,-0.5,-0.6107
Sn1_11_-1_-1_-1,-0.6107,-0.8087,-0.5
Sn1_12_-1_-1_-1,-0.8087,-0.5,-0.3893
Sn1_13_-1_-1_-1,-0.5,-0.3893,-0.1913
Sn1_16_-1_-1_-1,-0.5,-0.6107,-0.8087
Sn1_25_-1_-1_-1,-1,-0.6913,-0.1107
Sn1_26_-1_-1_-1,-0.8893,-1,-0.3087
Sn1_27_-1_-1_-1,-0.6913,-0.8893,-1
Sn1_28_-1_-1_-1,-1,-0.3087,-0.8893
Sn1_29_-1_-1_-1,-0.1107,-1,-0.6913
Sn1_30_-1_-1_-1,-0.3087,-0.1107,-1
Sn1_32_-1_-1_-1,-0.8893,-1,-0.6913
Sn1_33_-1_-1_-1,-0.6913,-0.1107,-1
Sn1_35_-1_-1_-1,-0.1107,-1,-0.3087
Sn1_36_-1_-1_-1,-0.3087,-0.8893,-1
