Label,x_a,y_b,z_c
Na1_1_-1_-1_-1,-0.5,-0.5,-0.5
Na1_25_-1_-1_-1,-1,-1,-1
Rb1_1_-1_-1_-1,-0.5,-1,-0.25
Rb1_2_-1_-1_-1,-1,-0.75,-0.5
Rb1_3_-1_-1_-1,-0.25,-0.5,-1
Rb1_4_-1_-1_-1,-0.5,-1,-0.75
Rb1_5_-1_-1_-1,-1,-0.25,-0.5
Rb1_6_-1_-1_-1,-0.75,-0.5,-1
Ge1_1_-1_-1_-1,-1,-0.5,-0.25
Ge1_2_-1_-1_-1,-0.5,-0.75,-1
Ge1_3_-1_-1_-1,-0.25,-1,-0.5
Ge1_4_-1_-1_-1,-1,-0.5,-0.75
Ge1_5_-1_-1_-1,-0.5,-0.25,-1
Ge1_6_-1_-1_-1,-0.75,-1,-0.5
Ge2_1_-1_-1_-1,-0.31715,-0.68285,-0.31715
Ge2_4_-1_-1_-1,-0.68285,-0.31715,-0.68285
Ge2_7_-1_-1_-1,-0.31715,-0.31715,-0.68285
Ge2_10_-1_-1_-1,-0.68285,-0.68285,-0.31715
Ge2_13_-1_-1_-1,-0.68285,-0.31715,-0.31715
Ge2_16_-1_-1_-1,-0.31715,-0.68285,-0.68285
Ge2_19_-1_-1_-1,-0.68285,-0.68285,-0.68285
Ge2_22_-1_-1_-1,-0.31715,-0.31715,-0.31715
Ge2_25_-1_-1_-1,-0.81715,-0.81715,-0.18285
Ge2_28_-1_-1_-1,-0.18285,-0.18285,-0.81715
Ge2_31_-1_-1_-1,-0.81715,-0.18285,-0.81715
Ge2_34_-1_-1_-1,-0.18285,-0.81715,-0.18285
Ge2_37_-1_-1_-1,-0.18285,-0.81715,-0.81715
Ge2_40_-1_-1_-1,-0.81715,-0.18285,-0.18285
Ge2_43_-1_-1_-1,-0.18285,-0.18285,-0.18285
Ge2_46_-1_-1_-1,-0.81715,-0.81715,-0.81715
Ge3_1_-1_-1_-1,-0.38042,-0.81013,-0.5
Ge3_2_-1_-1_-1,-0.18987,-0.5,-0.38042
Ge3_3_-1_-1_-1,-0.5,-0.61958,-0.18987
Ge3_4_-1_-1_-1,-0.61958,-0.18987,-0.5
Ge3_5_-1_-1_-1,-0.81013,-0.5,-0.61958
Ge3_6_-1_-1_-1,-0.5,-0.38042,-0.81013
Ge3_7_-1_-1_-1,-0.38042,-0.18987,-0.5
Ge3_8_-1_-1_-1,-0.18987,-0.5,-0.61958
Ge3_10_-1_-1_-1,-0.61958,-0.81013,-0.5
Ge3_11_-1_-1_-1,-0.81013,-0.5,-0.38042
Ge3_15_-1_-1_-1,-0.5,-0.38042,-0.18987
Ge3_18_-1_-1_-1,-0.5,-0.61958,-0.81013
Ge3_25_-1_-1_-1,-0.88042,-1,-0.31013
Ge3_26_-1_-1_-1,-0.68987,-0.88042,-1
Ge3_27_-1_-1_-1,-1,-0.68987,-0.11958
Ge3_28_-1_-1_-1,-0.11958,-1,-0.68987
Ge3_29_-1_-1_-1,-0.31013,-0.11958,-1
Ge3_30_-1_-1_-1,-1,-0.31013,-0.88042
Ge3_31_-1_-1_-1,-0.88042,-1,-0.68987
Ge3_32_-1_-1_-1,-0.68987,-0.11958,-1
Ge3_34_-1_-1_-1,-0.11958,-1,-0.31013
Ge3_35_-1_-1_-1,-0.31013,-0.88042,-1
Ge3_39_-1_-1_-1,-1,-0.68987,-0.88042
Ge3_42_-1_-1_-1,-1,-0.31013,-0.11958
Na1_1_0_-1_-1,0.5,-0.5,-0.5
Na1_25_0_-1_-1,0,-1,-1
Rb1_1_0_-1_-1,0.5,-1,-0.25
Rb1_2_0_-1_-1,0,-0.75,-0.5
Rb1_3_0_-1_-1,0.75,-0.5,-1
Rb1_4_0_-1_-1,0.5,-1,-0.75
Rb1_5_0_-1_-1,0,-0.25,-0.5
Rb1_6_0_-1_-1,0.25,-0.5,-1
Ge1_1_0_-1_-1,0,-0.5,-0.25
Ge1_2_0_-1_-1,0.5,-0.75,-1
Ge1_3_0_-1_-1,0.75,-1,-0.5
Ge1_4_0_-1_-1,0,-0.5,-0.75
Ge1_5_0_-1_-1,0.5,-0.25,-1
Ge1_6_0_-1_-1,0.25,-1,-0.5
Ge2_1_0_-1_-1,0.68285,-0.68285,-0.31715
Ge2_4_0_-1_-1,0.31715,-0.31715,-0.68285
Ge2_7_0_-1_-1,0.68285,-0.31715,-0.68285
Ge2_10_0_-1_-1,0.31715,-0.68285,-0.31715
Ge2_13_0_-1_-1,0.31715,-0.31715,-0.31715
Ge2_16_0_-1_-1,0.68285,-0.68285,-0.68285
Ge2_19_0_-1_-1,0.31715,-0.68285,-0.68285
Ge2_22_0_-1_-1,0.68285,-0.31715,-0.31715
Ge2_25_0_-1_-1,0.18285,-0.81715,-0.18285
Ge2_28_0_-1_-1,0.81715,-0.18285,-0.81715
Ge2_31_0_-1_-1,0.18285,-0.18285,-0.81715
Ge2_34_0_-1_-1,0.81715,-0.81715,-0.18285
Ge2_37_0_-1_-1,0.81715,-0.81715,-0.81715
Ge2_40_0_-1_-1,0.18285,-0.18285,-0.18285
Ge2_43_0_-1_-1,0.81715,-0.18285,-0.18285
Ge2_46_0_-1_-1,0.18285,-0.81715,-0.81715
Ge3_1_0_-1_-1,0.61958,-0.81013,-0.5
Ge3_2_0_-1_-1,0.81013,-0.5,-0.38042
Ge3_3_0_-1_-1,0.5,-0.61958,-0.18987
Ge3_4_0_-1_-1,0.38042,-0.18987,-0.5
Ge3_5_0_-1_-1,0.18987,-0.5,-0.61958
Ge3_6_0_-1_-1,0.5,-0.38042,-0.81013
Ge3_7_0_-1_-1,0.61958,-0.18987,-0.5
Ge3_8_0_-1_-1,0.81013,-0.5,-0.61958
Ge3_10_0_-1_-1,0.38042,-0.81013,-0.5
Ge3_11_0_-1_-1,0.18987,-0.5,-0.38042
Ge3_15_0_-1_-1,0.5,-0.38042,-0.18987
Ge3_18_0_-1_-1,0.5,-0.61958,-0.81013
Ge3_25_0_-1_-1,0.11958,-1,-0.31013
Ge3_26_0_-1_-1,0.31013,-0.88042,-1
Ge3_27_0_-1_-1,0,-0.68987,-0.11958
Ge3_28_0_-1_-1,0.88042,-1,-0.68987
Ge3_29_0_-1_-1,0.68987,-0.11958,-1
Ge3_30_0_-1_-1,0,-0.31013,-0.88042
Ge3_31_0_-1_-1,0.11958,-1,-0.68987
Ge3_32_0_-1_-1,0.31013,-0.11958,-1
Ge3_34_0_-1_-1,0.88042,-1,-0.31013
Ge3_35_0_-1_-1,0.68987,-0.88042,-1
Ge3_39_0_-1_-1,0,-0.68987,-0.88042
Ge3_42_0_-1_-1,0,-0.31013,-0.11958
Na1_1_1_-1_-1,1.5,-0.5,-0.5
Na1_25_1_-1_-1,1,-1,-1
Rb1_1_1_-1_-1,1.5,-1,-0.25
Rb1_2_1_-1_-1,1,-0.75,-0.5
