Label,x_a,y_b,z_c
Si3_1_0_1_-1,0.6188,1.1958,-0.5
Si3_2_0_1_-1,0.8042,1.5,-0.3812
Si3_3_0_1_-1,0.5,1.3812,-0.1958
Si3_4_0_1_-1,0.3812,1.8042,-0.5
Si3_5_0_1_-1,0.1958,1.5,-0.6188
Si3_6_0_1_-1,0.5,1.6188,-0.8042
Si3_7_0_1_-1,0.6188,1.8042,-0.5
Si3_8_0_1_-1,0.8042,1.5,-0.6188
Si3_10_0_1_-1,0.3812,1.1958,-0.5
Si3_11_0_1_-1,0.1958,1.5,-0.3812
Si3_15_0_1_-1,0.5,1.6188,-0.1958
Si3_18_0_1_-1,0.5,1.3812,-0.8042
Si3_25_0_1_-1,0.1188,1,-0.3042
Si3_26_0_1_-1,0.3042,1.1188,-1
Si3_27_0_1_-1,0,1.3042,-0.1188
Si3_28_0_1_-1,0.8812,1,-0.6958
Si3_29_0_1_-1,0.6958,1.8812,-1
Si3_30_0_1_-1,0,1.6958,-0.8812
Si3_31_0_1_-1,0.1188,1,-0.6958
Si3_32_0_1_-1,0.3042,1.8812,-1
Si3_34_0_1_-1,0.8812,1,-0.3042
Si3_35_0_1_-1,0.6958,1.1188,-1
Si3_39_0_1_-1,0,1.3042,-0.8812
Si3_42_0_1_-1,0,1.6958,-0.1188
Na1_1_1_1_-1,1.5,1.5,-0.5
Na1_25_1_1_-1,1,1,-1
Na2_1_1_1_-1,1.5,1,-0.25
Na2_2_1_1_-1,1,1.25,-0.5
Na2_3_1_1_-1,1.75,1.5,-1
Na2_4_1_1_-1,1.5,1,-0.75
Na2_5_1_1_-1,1,1.75,-0.5
Na2_6_1_1_-1,1.25,1.5,-1
Si1_1_1_1_-1,1,1.5,-0.25
Si1_2_1_1_-1,1.5,1.25,-1
Si1_3_1_1_-1,1.75,1,-0.5
Si1_4_1_1_-1,1,1.5,-0.75
Si1_5_1_1_-1,1.5,1.75,-1
Si1_6_1_1_-1,1.25,1,-0.5
Si2_1_1_1_-1,1.68611,1.31389,-0.31389
Si2_4_1_1_-1,1.31389,1.68611,-0.68611
Si2_7_1_1_-1,1.68611,1.68611,-0.68611
Si2_10_1_1_-1,1.31389,1.31389,-0.31389
Si2_13_1_1_-1,1.31389,1.68611,-0.31389
Si2_16_1_1_-1,1.68611,1.31389,-0.68611
Si2_19_1_1_-1,1.31389,1.31389,-0.68611
Si2_22_1_1_-1,1.68611,1.68611,-0.31389
Si2_25_1_1_-1,1.18611,1.18611,-0.18611
Si2_28_1_1_-1,1.81389,1.81389,-0.81389
Si2_31_1_1_-1,1.18611,1.81389,-0.81389
Si2_34_1_1_-1,1.81389,1.18611,-0.18611
Si2_37_1_1_-1,1.81389,1.18611,-0.81389
Si2_40_1_1_-1,1.18611,1.81389,-0.18611
Si2_43_1_1_-1,1.81389,1.81389,-0.18611
Si2_46_1_1_-1,1.18611,1.18611,-0.81389
Si3_1_1_1_-1,1.6188,1.1958,-0.5
Si3_2_1_1_-1,1.8042,1.5,-0.3812
Si3_3_1_1_-1,1.5,1.3812,-0.1958
Si3_4_1_1_-1,1.3812,1.8042,-0.5
Si3_5_1_1_-1,1.1958,1.5,-0.6188
Si3_6_1_1_-1,1.5,1.6188,-0.8042
Si3_7_1_1_-1,1.6188,1.8042,-0.5
Si3_8_1_1_-1,1.8042,1.5,-0.6188
Si3_10_1_1_-1,1.3812,1.1958,-0.5
Si3_11_1_1_-1,1.1958,1.5,-0.3812
Si3_15_1_1_-1,1.5,1.6188,-0.1958
Si3_18_1_1_-1,1.5,1.3812,-0.8042
Si3_25_1_1_-1,1.1188,1,-0.3042
Si3_26_1_1_-1,1.3042,1.1188,-1
Si3_27_1_1_-1,1,1.3042,-0.1188
Si3_28_1_1_-1,1.8812,1,-0.6958
Si3_29_1_1_-1,1.6958,1.8812,-1
Si3_30_1_1_-1,1,1.6958,-0.8812
Si3_31_1_1_-1,1.1188,1,-0.6958
Si3_32_1_1_-1,1.3042,1.8812,-1
Si3_34_1_1_-1,1.8812,1,-0.3042
Si3_35_1_1_-1,1.6958,1.1188,-1
Si3_39_1_1_-1,1,1.3042,-0.8812
Si3_42_1_1_-1,1,1.6958,-0.1188
Na1_1_-1_-1_0,-0.5,-0.5,0.5
Na1_25_-1_-1_0,-1,-1,0
Na2_1_-1_-1_0,-0.5,-1,0.75
Na2_2_-1_-1_0,-1,-0.75,0.5
Na2_3_-1_-1_0,-0.25,-0.5,0
Na2_4_-1_-1_0,-0.5,-1,0.25
Na2_5_-1_-1_0,-1,-0.25,0.5
Na2_6_-1_-1_0,-0.75,-0.5,0
Si1_1_-1_-1_0,-1,-0.5,0.75
Si1_2_-1_-1_0,-0.5,-0.75,0
